60.353,63.547,52.64,67.437,55.746,64.371,62.135,NaN,79.046,62.332,69.886,74.11,69.294,63.553,71.67,59.517,59.566,57.385,NaN,74.065,46.755,63.549,75.628,NaN,54.487,43.728
62.121,65.948,52.919,68.386,56.649,64.603,62.347,NaN,NaN,62.532,71.805,74.588,69.563,64.638,71.85,59.673,59.718,58.749,NaN,74.208,47.168,67.467,75.992,NaN,56.05,44.005
62.334,67.433,53.161,69.544,58.916,65.989,62.533,NaN,NaN,63.326,74.388,75.603,71.874,67.466,74.092,60.828,60.375,59.645,NaN,75.598,47.841,67.642,78.329,NaN,56.773,44.548
62.546,68.354,54.505,71.806,59.607,67.393,63.353,NaN,NaN,63.545,75.616,77.194,72.482,68.373,75.629,61.413,62.482,60.371,NaN,77.896,49.997,69.955,NaN,NaN,57.406,45.799
63.351,69.534,56.786,71.909,60.547,69.286,63.547,NaN,NaN,67.478,77.884,78.329,73.252,69.566,77.922,62.144,62.573,60.513,NaN,78.294,50.605,70.135,NaN,NaN,58.889,47.524
63.529,71.628,57.389,74.468,62.155,69.712,67.473,NaN,NaN,68.333,78.197,NaN,74.124,71.675,78.335,62.55,66.132,62.135,NaN,NaN,50.794,71.837,NaN,NaN,59.162,49.031
67.479,71.882,58.013,75.637,62.563,72.248,68.335,NaN,NaN,69.535,NaN,NaN,75.054,71.853,NaN,63.807,66.881,62.566,NaN,NaN,51.828,74.583,NaN,NaN,59.318,50.037
68.333,74.055,59.203,75.75,63.35,74.054,69.529,NaN,NaN,71.726,NaN,NaN,75.649,72.455,NaN,64.628,67.438,63.312,NaN,NaN,55.211,75.632,NaN,NaN,59.569,50.877
69.532,74.469,59.318,75.908,63.589,74.366,71.723,NaN,NaN,74.205,NaN,NaN,77.479,73.752,NaN,65.95,67.666,64.6,NaN,NaN,57.37,75.732,NaN,NaN,60.63,54.488
71.728,75.72,59.533,77.216,64.844,75.614,74.211,NaN,NaN,74.35,NaN,NaN,NaN,74.076,NaN,67.052,69.013,65.09,NaN,NaN,59.324,77.254,NaN,NaN,61.451,55.443
74.345,75.885,62.554,NaN,65.971,75.95,75.61,NaN,NaN,75.615,NaN,NaN,NaN,75.622,NaN,67.447,69.548,67.465,NaN,NaN,59.514,NaN,NaN,NaN,62.13,55.561
75.626,77.207,63.545,NaN,67.44,77.224,78.948,NaN,NaN,NaN,NaN,NaN,NaN,77.19,NaN,69.565,69.988,69.009,NaN,NaN,59.653,NaN,NaN,NaN,62.59,56.944
NaN,77.41,63.807,NaN,68.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.493,NaN,71.665,71.665,69.556,NaN,NaN,62.567,NaN,NaN,NaN,63.321,58.252
NaN,NaN,64.874,NaN,69.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.185,NaN,71.84,71.836,71.687,NaN,NaN,63.575,NaN,NaN,NaN,63.572,59.046
NaN,NaN,65.949,NaN,71.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.345,NaN,72.253,71.996,71.799,NaN,NaN,65.948,NaN,NaN,NaN,64.304,59.32
