70.313,89.853,92.988,50.203,24.458,94.496,NaN,70.728,57.039,24.499,72.851,78.054,82.982,NaN,NaN,28.734,79.037,NaN,20.867,NaN,NaN,79.85,62.655,62.532,31.122,NaN,26.791,51.253,78.392,79.132,78.999,32.529,31.263,29.93,30.041,82.001,NaN,81.928,92.965,73.021,29.539,89.328,35.941,NaN,21.125,NaN,78.23,38.427,NaN,83.757,37.14,57.525,40.759,NaN,25.858,21.03,53.695,93.784,79.791,23.825,80.658,69.316
71.026,90.098,93.4,50.466,24.557,94.591,NaN,70.921,73.566,24.989,73.729,78.932,84.099,NaN,NaN,28.925,80.686,NaN,21.03,NaN,NaN,81.594,62.765,63.1,31.665,NaN,28.038,53.45,79.632,79.66,79.327,34.534,32.662,39.13,30.759,87.757,NaN,82.021,93.164,79.884,30.369,89.864,44.949,NaN,21.667,NaN,80.497,41.497,NaN,87.126,41.54,67.287,41.135,NaN,27.501,22.429,55.023,93.936,79.95,24.069,81.554,69.466
71.418,NaN,94.261,51.454,25.457,NaN,NaN,72.97,73.756,25.228,75.461,80.701,84.689,NaN,NaN,30.842,80.869,NaN,21.4,NaN,NaN,82.015,63.103,64.92,31.997,NaN,29.119,53.695,79.783,79.933,80.696,35.706,32.899,41.562,30.935,88.229,NaN,82.424,93.461,81.127,31.258,92.999,45.67,NaN,22.027,NaN,80.591,41.604,NaN,87.534,41.672,67.362,42.774,NaN,27.661,23.217,55.099,NaN,80.563,26.104,82.062,72.019
71.594,NaN,94.426,52.224,27.262,NaN,NaN,73.163,73.997,25.627,76.295,81.083,85.285,NaN,NaN,31.154,80.988,NaN,22.373,NaN,NaN,82.127,64.515,65.682,32.136,NaN,29.235,56.595,80.155,80.729,80.982,35.829,32.998,42.031,31.127,88.432,NaN,83.588,93.764,81.401,32.231,93.165,45.798,NaN,25.792,NaN,81.098,41.93,NaN,87.695,43.188,70.191,43.193,NaN,28.026,27.907,60.657,NaN,81.279,26.633,82.248,79.26
84.235,NaN,NaN,52.559,27.488,NaN,NaN,75.686,74.089,25.824,77.76,82.217,85.362,NaN,NaN,31.427,81.393,NaN,22.733,NaN,NaN,83.501,65.4,67.573,33.003,NaN,29.373,56.992,80.366,80.932,81.55,36.233,34.099,47.206,31.657,88.565,NaN,83.96,93.947,81.564,33.32,94.132,46.993,NaN,26.028,NaN,83.148,65.473,NaN,88.726,44.926,71.692,45.4,NaN,28.608,28.6,60.756,NaN,81.76,27.402,82.434,79.603
84.361,NaN,NaN,52.896,27.621,NaN,NaN,75.83,77.262,26.228,77.957,82.532,85.782,NaN,NaN,31.904,82.794,NaN,23.057,NaN,NaN,83.826,65.971,68.963,33.434,NaN,30.502,59.788,80.456,81.262,82.102,36.356,34.261,47.387,32.029,91.523,NaN,84.031,NaN,81.694,33.47,94.366,53.884,NaN,26.17,NaN,83.927,65.602,NaN,89.091,47.783,71.798,45.732,NaN,28.739,28.696,61.756,NaN,82.458,27.66,84.091,89.559
85.055,NaN,NaN,53.363,28.221,NaN,NaN,76.023,80.69,27.358,78.266,83.235,86.892,NaN,NaN,32.721,84.462,NaN,24.259,NaN,NaN,83.994,66.396,74.789,65.591,NaN,30.765,60.102,80.779,81.392,82.232,37.461,35.673,48.727,32.105,92.9,NaN,84.687,NaN,82.159,34.057,NaN,55.02,NaN,26.289,NaN,84.061,69.137,NaN,92.426,47.936,73.896,46.825,NaN,31.305,28.806,61.853,NaN,83.957,28.625,86.194,90.122
85.293,NaN,NaN,53.734,28.902,NaN,NaN,78.858,80.867,27.604,79.266,84.954,89.062,NaN,NaN,33.874,85.23,NaN,24.59,NaN,NaN,84.095,69.137,79.26,69.554,NaN,32.532,67.35,80.904,81.566,84.336,38.775,35.807,48.957,33.295,93.034,NaN,85.301,NaN,82.433,41.467,NaN,59.007,NaN,26.562,NaN,89.362,71.459,NaN,92.652,50.502,73.995,46.926,NaN,32.422,29.301,64.923,NaN,84.101,29.325,86.892,90.424
87.686,NaN,NaN,54.202,28.997,NaN,NaN,79.804,80.966,27.735,79.397,85.637,93.959,NaN,NaN,33.973,85.796,NaN,24.776,NaN,NaN,85.666,69.268,83.446,70.854,NaN,32.66,67.434,81.394,82.102,88.927,39.101,42.198,49.505,36.487,93.319,NaN,85.416,NaN,82.652,41.604,NaN,73.763,NaN,28.034,NaN,89.866,71.565,NaN,92.891,50.603,74.154,47.07,NaN,34.199,31.064,66.562,NaN,86.957,31.626,88.555,90.596
89.914,NaN,NaN,70.421,29.126,NaN,NaN,80.257,81.517,27.839,79.625,85.751,94.357,NaN,NaN,34.537,86.214,NaN,25.136,NaN,NaN,87.716,69.525,83.562,70.991,NaN,32.77,73.03,81.996,82.328,89.122,39.203,42.329,52.895,39.406,NaN,NaN,88.225,NaN,82.995,41.901,NaN,74.53,NaN,28.124,NaN,90.365,75.964,NaN,93.396,51.272,74.466,58.325,NaN,35.938,31.558,67.361,NaN,87.263,32.632,89.999,NaN
